with high debt and very low amm liquidity:,,,,,,,,,,,,,,
timestamp,cumulative_bad_debt,liquidatable_count,liquidatable_pct,median_hf,mean_hf,min_hf,liquidations_this_step,seized_usd_this_step,debt_closed_this_step,bad_debt_this_step,price_WETH,price_WBTC,price_SOL,price_USDC
2022-11-09 07:59:00,3415299719.776554,3045,30.45,1.2059043596227232,1.4331009317847172,0.6015392792481534,34,9483421.423155574,6866357.360232986,7209380.129903742,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,3014136204.34568,2645,26.450000000000003,1.2405578053430186,1.432419265068431,0.6015392792481534,38,4769040.343004542,3478284.631011981,3651915.4305087333,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,2450262887.800475,2112,21.12,1.3438014826292122,1.5368482422009626,0.6015392792481534,41,3025610.6961177173,2220648.267261007,2331268.183286283,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,1904127012.871574,1551,15.509999999999998,1.3444710799866786,1.4695001579209601,0.6015392792481534,48,5131659.482801456,3730056.614622379,3915777.5778874625,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,1915524041.1024656,1602,16.02,1.3418717875560984,1.465597786088847,0.6000169502003045,43,5167346.445083814,3768215.5705077266,3955595.1188957,1272.66,18236.25,19.22,1.0
2022-11-09 07:59:00,1919531120.3900664,1595,15.950000000000001,1.3414152483876753,1.4653395228594255,0.5996890409087979,48,5791652.383751794,4206210.086412166,4415112.4161602035,1273.75,18238.62,19.2,1.0
2022-11-09 07:59:00,1915524041.1024656,1602,16.02,1.3418717875560984,1.465597786088847,0.6000169502003045,43,5167346.445083814,3768215.5705077266,3955595.1188957,1272.66,18236.25,19.22,1.0
2022-11-09 07:59:00,1883454056.8808355,1471,14.71,1.3541648038899425,1.4791386022502735,0.6063030237645615,54,6961030.911301224,5004451.591503662,5253630.369940445,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2052577775.0794466,1055,10.549999999999999,1.3541648038899425,1.4849038897531424,0.6063030237645615,177,3874232.3451629295,2758021.186575774,2895585.1674375776,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2022-11-09 07:59:00,2059660072.012284,1054,10.54,1.3541648038899425,1.4849638474962157,0.6063030237645615,185,2245491.5597058106,1597682.1187839315,1677375.9272820703,1276.03,18273.33,19.51,1.0
2025-10-11 06:59:00,1482173106.256879,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1482173106.256879,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1199508852.6658914,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1482173106.256879,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,96231409.54970318,1200,12.0,1.5224030880077994,1.6226212831648257,0.645756689093707,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,96231409.54970318,1200,12.0,1.5224030880077994,1.6226212831648257,0.645756689093707,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1482173106.256879,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1482173106.256879,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1199508852.6658914,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,1199508852.6658914,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,433363778.684165,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,719458896.9917129,0,0.0,1.5257252577683658,1.663861874245332,1.0080461150807554,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
2025-10-11 06:59:00,661506213.0823871,0,0.0,1.5254615173158137,1.6614123915124044,1.0073666030072226,0,0.0,0.0,0.0,3780.0,112032.42,184.03,1.0
